DEPTH,
2290.32,4
2290.47,4
2290.62,4
2290.77,4
2290.93,4
2291.08,4
2291.23,4
2291.38,4
2291.54,4
2291.69,4
2291.84,4
2291.99,4
2292.14,4
2292.3,4
2292.45,4
2292.6,4
2292.75,4
2292.91,4
2293.06,4
2293.21,4
2293.36,4
2293.52,4
2293.67,4
2293.82,4
2293.97,4
2294.13,4
2294.28,4
2294.43,4
2294.58,4
2294.74,4
2294.89,4
2295.04,4
2295.19,4
2295.35,4
2295.5,4
2295.65,4
2295.8,4
2295.95,4
2296.11,4
2296.26,4
2296.41,4
2296.56,4
2296.72,4
2296.87,4
2297.02,4
2297.17,4
2297.33,4
2297.48,4
2297.63,4
2297.78,4
2297.94,4
2298.09,4
2298.24,4
2298.39,4
2298.55,4
2298.7,4
2298.85,4
2299,4
2299.16,4
2299.31,4
2299.46,4
2299.61,4
2299.76,4
2299.92,4
2300.07,4
2300.22,4
2300.37,4
2300.53,4
2300.68,4
2300.83,4
2300.98,4
2301.14,4
2301.29,4
2301.44,4
2301.59,4
2301.75,4
2301.9,4
2302.05,4
2302.2,4
2302.36,4
2302.51,4
2302.66,4
2302.81,4
2302.97,4
2303.12,4
2303.27,4
2303.42,4
2303.57,4
2303.73,4
2303.88,4
2304.03,4
2304.18,4
2304.34,4
2304.49,4
2304.64,4
2304.79,4
2304.95,4
2305.1,4
2305.25,4
2305.4,4
2305.56,4
2305.71,4
2305.86,4
2306.01,4
2306.17,4
2306.32,4
2306.47,4
2306.62,4
2306.78,4
2306.93,4
2307.08,4
2307.23,4
2307.38,4
2307.54,4
2307.69,4
2307.84,4
2307.99,4
2308.15,4
2308.3,4
2308.45,4
2308.6,4
2308.76,4
2308.91,4
2309.06,4
2309.21,4
2309.37,4
2309.52,4
2309.67,4
2309.82,4
2309.98,4
2310.13,4
2310.28,4
2310.43,4
2310.59,4
2310.74,4
2310.89,4
2311.04,4
2311.19,4
2311.35,4
2311.5,4
2311.65,4
2311.8,4
2311.96,4
2312.11,4
2312.26,4
2312.41,4
2312.57,4
2312.72,4
2312.87,4
2313.02,4
2313.18,4
2313.33,4
2313.48,4
2313.63,4
2313.79,4
2313.94,4
2314.09,4
2314.24,4
2314.4,4
2314.55,4
2314.7,4
2314.85,4
2315,4
2315.16,4
2315.31,4
2315.46,4
2315.61,4
2315.77,4
2315.92,4
2316.07,4
2316.22,4
2316.38,4
2316.53,4
2316.68,4
2316.83,4
